Time,GDP_exp,log_Real_GDP,Current_Account,Current_Account_GDP,Trade_Balance ,Trade_Balance_GDP,NIIP,Trade_EU,Trade_non_EU,HP_FILTER,TREND,,UK exports (to US),UK imports (from US),Trade Balance US,UK exports (to Germany),UK imports (from Germany),Trade Balance Germany,UK exports (to Netherlands),UK imports (from Netherlands),Trade Balance Netherlands,UK exports (to France),UK imports (from France),Trade Balance France,UK exports (to China),UK imports (from China),Trade Balance China,,GDP_exp,log_GDP_exp,CONS_exp,log_CONS_exp,INV_exp,log_INV_exp,GOVT_exp,log_GOVT_exp,EXP_exp,log_EXP_exp,IM_exp,log_IM_exp,,,GDP_exp,log_GDP_exp,,,Current_Account,Trade_Balance ,,Detrended_Current_Account,Detrended_Trade_Balance,,,,trend_GDP_exp_HP,trend_CONS_exp_HP,trend_INV_exp_HP,trend_GOVT_exp_HP,trend_EXP_exp_HP,trend_IM_exp_HP,,GDP_exp,log_GDP_exp,CONS_exp,log_CONS_exp,INV_exp,log_INV_exp,GOVT_exp,log_GOVT_exp,EXP_exp,log_EXP_exp,IM_exp,log_IM_exp,,cyc_GDP_exp_HP,cyc_CONS_exp_HP,cyc_INV_exp_HP,cyc_GOVT_exp_HP,cyc_EXP_exp_HP,cyc_IM_exp_HP,,GDP_exp,log_GDP_exp,CONS_exp,log_CONS_exp,INV_exp,log_INV_exp,GOVT_exp,log_GOVT_exp,EXP_exp,log_EXP_exp,IM_exp,log_IM_exp,,Detrended_Current_Account,Detrended_Trade_Balance,,,cyc_CA_log_det,cyc_CA_quad,serial_1,serial_2,trend_CA_log_det,trend_CA_quad,std_dev_cyc_CA_log_det,std_dev_cyc_CA_quad,serial_corr_cyc_CA_log_det,serial_corr_cyc_CA_quad,corr_CA_GDP_exp,,cyc_TB_log_det,cyc_TB_quad,serial_3,serial_4,trend_TB_log_det,trend_TB_quad,std_dev_cyc_TB_log_det,std_dev_cyc_TB_quad,serial_corr_cyc_TB_log_det,serial_corr_cyc_TB_quad,corr_TB_GDP_exp,,cyc_GDP_log_det,cyc_GDP_quad,serial_5,serial_6,trend_GDP_log_det,trend_GDP_quad,std_dev_cyc_GDP_log_det,std_dev_cyc_GDP_quad,serial_corr_cyc_GDP_log_det,serial_corr_cyc_GDP_quad,,,cyc_CONS_log_det,cyc_CONS_quad,serial_7,serial_8,trend_CONS_log_det,trend_CONS_quad,std_dev_cyc_CONS_log_det,std_dev_cyc_CONS_quad,serial_corr_cyc_CONS_log_det,serial_corr_cyc_CONS_quad,corr_CONS_GDP_exp,,cyc_INV_log_det,cyc_INV_quad,serial_9,serial_10,trend_INV_log_det,trend_INV_quad,std_dev_cyc_INV_log_det,std_dev_cyc_INV_quad,serial_corr_cyc_INV_log_det,serial_corr_cyc_INV_quad,corr_INV_GDP_exp,,cyc_GOVT_log_det,cyc_GOVT_quad,serial_11,serial_12,trend_GOVT_log_det,trend_GOVT_quad,std_dev_cyc_GOVT_log_det,std_dev_cyc_GOVT_quad,serial_corr_cyc_GOVT_log_det,serial_corr_cyc_GOVT_quad,g/y,corr_g/y_GDP_exp,,cyc_EXP_log_det,cyc_EXP_quad,serial_13,serial_14,trend_EXP_log_det,trend_EXP_quad,std_dev_cyc_EXP_log_det,std_dev_cyc_EXP_quad,serial_corr_cyc_EXP_log_det,serial_corr_cyc_EXP_quad,corr_EXP_GDP_exp,,cyc_IM_log_det,cyc_IM_quad,serial_15,serial_16,trend_IM_log_det,trend_IM_quad,std_dev_cyc_IM_log_det,std_dev_cyc_IM_quad,serial_corr_cyc_IM_log_det,serial_corr_cyc_IM_quad,corr_IM_GDP_exp,,QUAD. DETRENDED DATA,,,,,,,,,STD. DEVIATION,,,,,,,,
1988,555591,5.744755202,-19602,-3.5,-15090,-2.7,54917,,,1988,1,1988,,,,,,,,,,,,,,,,,555591,5.744755202,439713,5.643169306,347280,5.540679773,92433,4.965827049,113478,5.054911673,128568,5.109132888,,,555591,5.744755202,,,-19602,-15090,,-0.032524869,-0.025038275,,,,13.30913717,13.07691956,12.84486308,11.50391893,11.74615398,11.80477777,,555591,5.744755202,439713,5.643169306,347280,5.540679773,92433,4.965827049,113478,5.054911673,128568,5.109132888,,-7.56438197,-7.433750253,-7.304183308,-6.538091876,-6.691242309,-6.695644886,,555591,5.744755202,439713,5.643169306,347280,5.540679773,92433,4.965827049,113478,5.054911673,128568,5.109132888,,-60.53986345,-46.60476173,,,-0.834877381,-0.009145026,-1.039499915,-0.017362402,-59.70498607,-60.53071843,0.443481186,0.009492918,0.699809667,0.583027185,-0.092836107,,-0.054321352,-1.53E-02,-0.029197956,-1.87E-02,-46.55044038,-4.66E+01,0.021143462,0.009087988,0.904124955,0.815872102,-0.110607472,,-0.054321352,-0.016203855,-0.029197956,0.001296042,5.799076554,5.76E+00,0.021143462,0.009087037,0.904124955,0.649607089,,,0.059931496,-0.011336686,-0.040390681,-0.001514833,5.58323781,5.654505992,0.02516882,0.00751968,0.660616478,0.744142522,0.923374366,,-0.062390356,-0.014976386,-0.041800141,-0.003868965,5.603070129,5.555656159,0.025640875,0.009670633,0.94404164,0.749579245,0.794068008,,-0.050984662,0.000555702,-0.035211425,0.006020866,5.016811711,4.965271347,0.036734581,0.026135564,0.933250423,0.91947315,-0.034294413,-2.31889E-11,,-0.069660236,-0.02545765,-0.038809722,-0.003447653,5.124571909,5.080369323,0.031231383,0.022028849,0.721615599,0.505361602,0.142550988,,-0.038797451,0.00523619,-0.004412821,0.030814092,5.147930339,5.103896698,0.0283811,0.017863292,0.701119195,0.298562634,0.221234394,,,,,,,,,,,,,,,,,,,
1989,614508,5.788527541,-24955,-4.1,-18313,-3,74595,,,1989,2,1989,,,,,,,,,,,,,,,,,614508,5.788527541,481261,5.682380669,380458,5.580306721,100803,5.003473457,128733,5.10968989,147046,5.167453215,,,614508,5.788527541,,,-24955,-18313,,-0.039380853,-0.028899281,,,,13.35930502,13.13121036,12.89822551,11.561242,11.81072925,11.86748215,,614508,5.788527541,481261,5.682380669,380458,5.580306721,100803,5.003473457,128733,5.10968989,147046,5.167453215,,-7.570777477,-7.448829693,-7.317918791,-6.557768542,-6.701039358,-6.700028936,,614508,5.788527541,481261,5.682380669,380458,5.580306721,100803,5.003473457,128733,5.10968989,147046,5.167453215,,-75.4112924,-45.6003367,,,-1.039499915,-0.017362402,-0.688115256,-0.010108328,-74.37179248,-75.39392999,,,,,,,-0.029197956,-1.87E-02,-0.011003504,-6.00E-03,-45.57113874,-4.56E+01,,,,,,,-0.029197956,0.001296042,-0.011003504,0.012392752,5.817725497,5.79E+00,,,,,,,-0.040390681,-0.001514833,-0.021997295,0.007829864,5.72277135,5.683895502,,,,,,,-0.041800141,-0.003868965,-0.024641825,0.004460543,5.622106862,5.584175686,,,,,,,-0.035211425,0.006020866,-0.012038565,0.019596555,5.038684882,4.997452591,,,,,4.645580462,,,-0.038809722,-0.003447653,-0.020169557,0.006961686,5.148499612,5.113137543,,,,,,,-0.004412821,0.030814092,-0.010755631,0.016271914,5.171866036,5.136639124,,,,,,,cyc_CA_quad,cyc_TB_quad,cyc_GDP_quad,cyc_CONS_quad,cyc_INV_quad,cyc_GOVT_quad,cyc_EXP_quad,cyc_IM_quad,,std_dev_cyc_CA_quad,std_dev_cyc_TB_quad,std_dev_cyc_GDP_quad,std_dev_cyc_CONS_quad,std_dev_cyc_INV_quad,std_dev_cyc_GOVT_quad,std_dev_cyc_EXP_quad,std_dev_cyc_IM_quad,
1990,668915,5.825370935,-20603,-3.1,-11135,-1.7,8887,,,1990,3,1990,20884215,22386036,-1501.821,21458782,34136220,-12677.438,12697511,16566179,-3868.668,17702378,19457894,-1755.516,806860,2130083,-1323.223,,668915,5.825370935,525345,5.720444603,413525,5.61650177,111820,5.048519488,141990,5.152257759,153125,5.185046102,,,668915,5.825370935,,,-20603,-11135,,-0.030923773,-0.016712916,,,,13.40942202,13.18544926,12.95153358,11.61852152,11.87523777,11.93016117,,668915,5.825370935,525345,5.720444603,413525,5.61650177,111820,5.048519488,141990,5.152257759,153125,5.185046102,,-7.584051087,-7.465004661,-7.335031812,-6.570002036,-6.722980011,-6.745115073,,668915,5.825370935,525345,5.720444603,413525,5.61650177,111820,5.048519488,141990,5.152257759,153125,5.185046102,,-60.91954053,-44.61854422,,,-0.688115256,-0.010108328,-0.005112128,0.006401473,-60.23142527,-60.9094322,,,,,,,-0.011003504,-6.00E-03,-0.006558375,7.45E-03,-44.60754072,-4.46E+01,,,,,,,-0.011003504,0.012392752,-0.006558375,0.010265899,5.836374439,5.81E+00,,,,,,,-0.021997295,0.007829864,-0.010139334,0.01130941,5.742441898,5.712614739,,,,,,,-0.024641825,0.004460543,-0.015135528,0.005792018,5.641143595,5.612041227,,,,,,,-0.012038565,0.019596555,0.008482538,0.031231388,5.060558053,5.028922933,,,,,1.581291596,,,-0.020169557,0.006961686,-0.035703444,-0.016193337,5.172427316,5.145296073,,,,,,,-0.010755631,0.016271914,-0.051331294,-0.031895755,5.195801733,5.168774188,,,,,,,-0.009145026,-1.53E-02,-0.016203855,-0.011336686,-0.014976386,0.000555702,-0.02545765,0.00523619,,0.009492918,0.009087988,0.009087037,0.00751968,0.009670633,0.026135564,0.022028849,0.017863292,
1991,705448,5.848465007,-9364,-1.3,-2608,-0.4,24823,,,1991,4,1991,18093425,21889418,-3795.993,23032423,30088328,-7055.905,13360660,15360629,-1999.969,17845644,18405156,-559.512,506103,2618444,-2112.341,,705448,5.848465007,564902,5.751973112,441616,5.6450448,123286,5.090913762,144761,5.160651575,147369,5.168406137,,,705448,5.848465007,,,-9364,-2608,,-0.013369353,-0.003723545,,,,13.45941813,13.23955496,13.00470225,11.67568875,11.93958453,11.99280888,,705448,5.848465007,564902,5.751973112,441616,5.6450448,123286,5.090913762,144761,5.160651575,147369,5.168406137,,-7.610953126,-7.487581848,-7.359657449,-6.584774988,-6.77893296,-6.824402742,,705448,5.848465007,564902,5.751973112,441616,5.6450448,123286,5.090913762,144761,5.160651575,147369,5.168406137,,-27.09303826,-43.66018232,,,-0.005112128,0.006401473,-0.026212698,0.003698027,-27.08792613,-27.09943973,,,,,,,-0.006558375,7.45E-03,-0.010015841,4.96E-03,-43.65362395,-4.37E+01,,,,,,,-0.006558375,0.010265899,-0.010015841,0.00076221,5.855023382,5.84E+00,,,,,,,-0.010139334,0.01130941,-0.00687935,0.006861252,5.762112446,5.740663702,,,,,,,-0.015135528,0.005792018,-0.013268529,0.00013818,5.660180328,5.639252782,,,,,,,0.008482538,0.031231388,0.016723334,0.031296816,5.082431224,5.059682374,,,,,3.042245739,,,-0.035703444,-0.016193337,-0.037058447,-0.024559784,5.196355019,5.176844912,,,,,,,-0.051331294,-0.031895755,-0.046720828,-0.034269936,5.21973743,5.200301892,,,,,,,-0.017362402,-1.87E-02,0.001296042,-0.001514833,-0.003868965,0.006020866,-0.003447653,0.030814092,,,,,,,,,,
1992,730561,5.863656484,-11180,-1.5,-4897,-0.7,49911,,,1992,5,1992,19212552,21844352,-2631.8,23538668,32192213,-8653.545,13771921,15470870,-1698.949,17742502,20158038,-2415.536,656758,3430128,-2773.37,,730561,5.863656484,595530,5.774903644,463392,5.665948532,132138,5.121027729,152484,5.183224276,157381,5.1969523,,,730561,5.863656484,,,-11180,-4897,,-0.015186566,-0.006651933,,,,13.5092258,13.29343762,13.05763455,11.73267876,12.0036672,12.05542483,,730561,5.863656484,595530,5.774903644,463392,5.665948532,132138,5.121027729,152484,5.183224276,157381,5.1969523,,-7.645569314,-7.518533977,-7.391686021,-6.611651027,-6.820442921,-6.858472528,,730561,5.863656484,595530,5.774903644,463392,5.665948532,132138,5.121027729,152484,5.183224276,157381,5.1969523,,-31.65510807,-42.72590168,,,-0.026212698,0.003698027,0.093002018,0.005004875,-31.62889537,-31.65880609,,,,,,,-0.010015841,4.96E-03,-0.006314176,8.53E-03,-42.71588584,-4.27E+01,,,,,,,-0.010015841,0.00076221,-0.006314176,-0.00105659,5.873672325,5.86E+00,,,,,,,-0.00687935,0.006861252,-0.003392252,0.00331048,5.781782994,5.768042392,,,,,,,-0.013268529,0.00013818,-0.005302938,0.00123692,5.679217061,5.665810352,,,,,,,0.016723334,0.031296816,0.004249485,0.011358501,5.104304395,5.089730913,,,,,41.060627,,,-0.037058447,-0.024559784,-0.00381096,0.002285948,5.220282723,5.20778406,,,,,,,-0.046720828,-0.034269936,-0.020512393,-0.014438787,5.243673128,5.231222237,,,,,,,-0.010108328,-6.00E-03,0.012392752,0.007829864,0.004460543,0.019596555,0.006961686,0.016271914,,CORRELATIONS WITH OUTPUT,,,,,,,,
1993,769143,5.886007092,-10174,-1.3,-2703,-0.4,77584,,,1993,6,1993,21968608,22988524,-1019.916,20423173,27603122,-7179.949,11149107,12463517,-1314.41,15877147,18278220,-2401.073,1040911,4099859,-3058.948,,769143,5.886007092,628147,5.79806129,493118,5.692950856,135029,5.130427051,173940,5.240399466,176643,5.247096432,,,769143,5.886007092,,,-10174,-2703,,-0.013151871,-0.003494153,,,,13.55878194,13.34701045,13.11022947,11.78945573,12.06734795,12.11795102,,769143,5.886007092,628147,5.79806129,493118,5.692950856,135029,5.130427051,173940,5.240399466,176643,5.247096432,,-7.672774852,-7.548949162,-7.417278617,-6.659028678,-6.826948485,-6.870854584,,769143,5.886007092,628147,5.79806129,493118,5.692950856,135029,5.130427051,173940,5.240399466,176643,5.247096432,,-28.1933616,-41.8161811,,,0.093002018,0.005004875,0.441987581,0.012764612,-28.28636361,-28.19836647,,,,,,,-0.006314176,8.53E-03,-0.002769989,1.21E-02,-41.80986692,-4.18E+01,,,,,,,-0.006314176,-0.00105659,-0.002769989,-0.00250711,5.892321267,5.89E+00,,,,,,,-0.003392252,0.00331048,-0.002861237,-0.0025261,5.801453542,5.79475081,,,,,,,-0.005302938,0.00123692,-0.003259343,-0.00293235,5.698253793,5.691713935,,,,,,,0.004249485,0.011358501,-0.000646512,-0.000291061,5.126177566,5.11906855,,,,,-10.75015205,,,-0.00381096,0.002285948,0.015983412,0.016288258,5.244210426,5.238113518,,,,,,,-0.020512393,-0.014438787,-0.006881475,-0.006577795,5.267608825,5.261535219,,,,,,,0.006401473,7.45E-03,0.010265899,0.01130941,0.005792018,0.031231388,-0.016193337,-0.031895755,,,,,,,,,,
1994,809469,5.908200221,-3919,-0.5,-240,0,65960,,,1994,7,1994,23246373,26821714,-3575.341,24527134,32703950,-8176.816,13962736,14639917,-677.181,19622967,22081635,-2458.668,1243082,5078523,-3835.441,,809469,5.908200221,658056,5.818262853,517644,5.714031184,140412,5.147404225,192363,5.284121542,192603,5.284663047,,,809469,5.908200221,,,-3919,-240,,-0.004822673,-0.000295341,,,,13.60801871,13.40018901,13.16237892,11.84602068,12.13044595,12.18027381,,809469,5.908200221,658056,5.818262853,517644,5.714031184,140412,5.147404225,192363,5.284121542,192603,5.284663047,,-7.69981849,-7.581926158,-7.448347733,-6.698616459,-6.84632441,-6.895610763,,809469,5.908200221,658056,5.818262853,517644,5.714031184,140412,5.147404225,192363,5.284121542,192603,5.284663047,,-10.63025693,-40.93150728,,,0.441987581,0.012764612,0.417457302,0.010436482,-11.07224451,-10.64302154,,,,,,,-0.002769989,1.21E-02,-0.000117464,1.55E-02,-40.92873729,-4.09E+01,,,,,,,-0.002769989,-0.00250711,-0.000117464,-0.004323533,5.910970211,5.91E+00,,,,,,,-0.002861237,-0.0025261,-0.001851146,-0.007213332,5.82112409,5.820788953,,,,,,,-0.003259343,-0.00293235,-0.000406749,-0.005638636,5.717290527,5.716963534,,,,,,,-0.000646512,-0.000291061,-0.006324284,-0.012011496,5.148050737,5.147695286,,,,,0.116094144,,,0.015983412,0.016288258,0.044913942,0.040036415,5.26813813,5.267833284,,,,,,,-0.006881475,-0.006577795,0.016843087,0.011984202,5.291544522,5.291240842,,,,,,,0.003698027,4.96E-03,0.00076221,0.006861252,0.00013818,0.031296816,-0.024559784,-0.034269936,,corr_CA_GDP_exp,corr_TB_GDP_exp,corr_CONS_GDP_exp,corr_INV_GDP_exp,corr_g/y_GDP_exp,corr_EXP_GDP_exp,corr_IM_GDP_exp,,
1995,850162,5.929501689,-5751,-0.7,2317,0.3,66559,,,1995,8,1995,25536496,32729149,-7192.653,29797648,39343049,-9545.401,18975430,17188553,1786.877,22647255,24610767,-1963.512,1329616,5999400,-4669.784,,850162,5.929501689,690150,5.838943492,544403,5.73592051,145747,5.163599624,217260,5.336979775,214943,5.332323306,,,850162,5.929501689,,,-5751,2317,,-0.006739729,0.002715345,,,,13.65686465,13.45289106,13.21397372,11.9023895,12.19277981,12.24225704,,850162,5.929501689,690150,5.838943492,544403,5.73592051,145747,5.163599624,217260,5.336979775,214943,5.332323306,,-7.727362959,-7.613947567,-7.47805321,-6.738789879,-6.855800033,-6.909933731,,850162,5.929501689,690150,5.838943492,544403,5.73592051,145747,5.163599624,217260,5.336979775,214943,5.332323306,,-15.27210673,-40.07235098,,,0.417457302,0.010436482,0.495514438,0.011078259,-15.68956403,-15.28254321,,,,,,,-0.000117464,1.55E-02,0.009456487,1.48E-02,-40.07223352,-4.01E+01,,,,,,,-0.000117464,-0.004323533,0.009456487,0.001307229,5.929619153,5.93E+00,,,,,,,-0.001851146,-0.007213332,0.006163546,-0.004225689,5.840794638,5.846156824,,,,,,,-0.000406749,-0.005638636,0.011013158,0.000876378,5.736327259,5.741559145,,,,,,,-0.006324284,-0.012011496,-0.0110234,-0.022042375,5.169923908,5.17561112,,,,,2.778167053,,,0.044913942,0.040036415,0.059214516,0.049764307,5.292065833,5.29694336,,,,,,,0.016843087,0.011984202,0.032991571,0.023577482,5.315480219,5.320339104,,,,,,,0.005004875,8.53E-03,-0.00105659,0.00331048,0.00123692,0.011358501,0.002285948,-0.014438787,,-0.092836107,-0.110607472,0.032866044,0.794068008,-2.31889E-11,0.142550988,0.221234394,,
1996,907245,5.957724583,-5235,-0.6,1525,0.2,85279,,,1996,9,1996,28212888,32858975,-4646.087,30433524,39719901,-9286.377,20006086,18410163,1595.923,24427001,25823081,-1396.08,1059590,7077162,-6017.572,,907245,5.957724583,735578,5.866628732,583952,5.76637715,151626,5.180773678,237251,5.375208052,235726,5.372407487,,,907245,5.957724583,,,-5235,1525,,-0.005845263,0.001702775,,,,13.70524587,13.50503239,13.26490138,11.95858201,12.25419106,12.3037571,,907245,5.957724583,735578,5.866628732,583952,5.76637715,151626,5.180773678,237251,5.375208052,235726,5.372407487,,-7.74752129,-7.638403659,-7.498524225,-6.777808337,-6.878983009,-6.931349609,,907245,5.957724583,735578,5.866628732,583952,5.76637715,151626,5.180773678,237251,5.375208052,235726,5.372407487,,-13.61278558,-39.23914697,,,0.495514438,0.011078259,0.737019209,0.016350235,-14.10830002,-13.62386384,,,,,,,0.009456487,1.48E-02,0.011850361,1.85E-02,-39.24860346,-3.93E+01,,,,,,,0.009456487,0.001307229,0.011850361,0.000283673,5.948268096,5.96E+00,,,,,,,0.006163546,-0.004225689,0.010937076,-0.003808935,5.860465186,5.870854421,,,,,,,0.011013158,0.000876378,0.021147017,0.006759329,5.755363992,5.765500772,,,,,,,-0.0110234,-0.022042375,-0.027151817,-0.042791652,5.191797079,5.202816053,,,,,-16.86190517,,,0.059214516,0.049764307,0.046244074,0.032830875,5.315993536,5.325443745,,,,,,,0.032991571,0.023577482,0.014258756,0.000896823,5.339415916,5.348830005,,,,,,,0.012764612,1.21E-02,-0.00250711,-0.0025261,-0.00293235,-0.000291061,0.016288258,-0.006577795,,,,,,,,,,
